age,memory_score,attention_score,recall_score,reaction_score,reaction_time_ms,previous_accuracy,weak_area,recommended_activity,recommended_difficulty
83,74.0,73.0,62.0,72.0,602.0,76.0,recall,Number Recall,Easy
69,81.0,55.0,65.0,69.0,643.0,76.0,attention,Attention Challenge,Easy
62,80.0,53.0,70.0,83.0,463.0,82.0,attention,Attention Challenge,Easy
75,87.0,71.0,60.0,78.0,530.0,74.0,recall,Word Recall,Easy
73,85.0,58.0,55.0,69.0,637.0,80.0,recall,Number Recall,Easy
77,84.0,53.0,74.0,62.0,723.0,74.0,attention,Attention Challenge,Easy
65,100.0,60.0,69.0,82.0,477.0,91.0,attention,Attention Challenge,Easy
65,79.0,58.0,66.0,68.0,644.0,71.0,attention,Attention Challenge,Easy
78,100.0,55.0,73.0,83.0,465.0,88.0,attention,Attention Challenge,Easy
90,80.0,50.0,51.0,56.0,804.0,72.0,attention,Attention Challenge,Easy
78,74.0,75.0,76.0,80.0,500.0,69.0,memory,Memory Match,Medium
57,71.0,91.0,66.0,70.0,627.0,71.0,recall,Word Recall,Medium
76,93.0,67.0,75.0,74.0,570.0,61.0,attention,Attention Challenge,Medium
56,95.0,71.0,78.0,51.0,863.0,82.0,reaction,Reaction Test,Easy
78,82.0,76.0,88.0,74.0,578.0,66.0,reaction,Reaction Test,Medium
84,89.0,73.0,73.0,81.0,488.0,74.0,attention,Attention Challenge,Medium
56,60.0,55.0,87.0,70.0,627.0,86.0,attention,Attention Challenge,Easy
75,56.0,94.0,67.0,70.0,624.0,85.0,memory,Memory Match,Easy
87,90.0,57.0,68.0,78.0,531.0,64.0,attention,Attention Challenge,Easy
66,73.0,78.0,71.0,86.0,419.0,81.0,recall,Word Recall,Medium
76,84.0,76.0,83.0,81.0,487.0,89.0,attention,Attention Challenge,Medium
79,66.0,39.0,81.0,68.0,656.0,72.0,attention,Attention Challenge,Easy
81,95.0,63.0,74.0,93.0,340.0,83.0,attention,Attention Challenge,Easy
82,57.0,69.0,55.0,78.0,520.0,67.0,recall,Word Recall,Easy
70,58.0,70.0,81.0,66.0,669.0,82.0,memory,Memory Match,Easy
69,92.0,73.0,60.0,77.0,539.0,79.0,recall,Word Recall,Easy
57,44.0,79.0,59.0,55.0,811.0,85.0,memory,Memory Match,Easy
61,80.0,68.0,56.0,93.0,341.0,84.0,recall,Word Recall,Easy
75,74.0,73.0,71.0,85.0,435.0,64.0,recall,Number Recall,Medium
63,66.0,67.0,89.0,98.0,272.0,79.0,memory,Memory Match,Medium
72,73.0,53.0,58.0,57.0,789.0,93.0,attention,Attention Challenge,Easy
58,65.0,68.0,96.0,85.0,437.0,56.0,memory,Memory Match,Medium
79,94.0,79.0,85.0,95.0,312.0,88.0,attention,Attention Challenge,Medium
68,97.0,85.0,51.0,82.0,477.0,94.0,recall,Word Recall,Easy
63,67.0,76.0,67.0,89.0,383.0,63.0,memory,Memory Match,Medium
80,78.0,88.0,57.0,82.0,477.0,71.0,recall,Word Recall,Easy
56,59.0,74.0,81.0,76.0,555.0,83.0,memory,Memory Match,Easy
74,88.0,81.0,58.0,68.0,647.0,69.0,recall,Word Recall,Easy
82,88.0,82.0,49.0,78.0,529.0,92.0,recall,Number Recall,Easy
61,71.0,65.0,67.0,76.0,553.0,89.0,attention,Attention Challenge,Medium
62,75.0,79.0,88.0,82.0,480.0,64.0,memory,Memory Match,Medium
89,74.0,54.0,69.0,90.0,369.0,71.0,attention,Attention Challenge,Easy
68,56.0,73.0,78.0,94.0,328.0,86.0,memory,Memory Match,Easy
71,94.0,77.0,78.0,80.0,506.0,85.0,attention,Attention Challenge,Medium
90,66.0,84.0,51.0,75.0,560.0,100.0,recall,Number Recall,Easy
58,66.0,80.0,59.0,80.0,497.0,69.0,recall,Word Recall,Easy
56,73.0,84.0,72.0,93.0,333.0,93.0,recall,Number Recall,Medium
60,87.0,67.0,64.0,74.0,574.0,69.0,recall,Word Recall,Easy
58,68.0,63.0,96.0,60.0,746.0,83.0,reaction,Reaction Test,Easy
83,52.0,64.0,55.0,77.0,536.0,87.0,memory,Memory Match,Easy
72,64.0,72.0,59.0,82.0,480.0,48.0,recall,Number Recall,Easy
80,80.0,41.0,76.0,77.0,543.0,87.0,attention,Attention Challenge,Easy
88,100.0,88.0,63.0,87.0,417.0,92.0,recall,Number Recall,Easy
64,60.0,69.0,32.0,87.0,410.0,89.0,recall,Word Recall,Easy
90,59.0,62.0,99.0,72.0,604.0,99.0,memory,Memory Match,Easy
68,57.0,30.0,57.0,66.0,669.0,88.0,attention,Attention Challenge,Easy
85,55.0,67.0,80.0,77.0,532.0,73.0,memory,Memory Match,Easy
69,89.0,65.0,54.0,95.0,313.0,90.0,recall,Word Recall,Easy
62,93.0,55.0,60.0,73.0,592.0,72.0,attention,Attention Challenge,Easy
68,77.0,58.0,49.0,56.0,798.0,79.0,recall,Word Recall,Easy
77,69.0,68.0,62.0,78.0,521.0,86.0,recall,Number Recall,Easy
75,96.0,59.0,63.0,78.0,529.0,82.0,attention,Attention Challenge,Easy
70,77.0,77.0,70.0,84.0,445.0,92.0,recall,Number Recall,Medium
72,88.0,57.0,67.0,71.0,608.0,100.0,attention,Attention Challenge,Easy
78,69.0,70.0,52.0,82.0,469.0,67.0,recall,Number Recall,Easy
80,76.0,86.0,65.0,66.0,673.0,75.0,recall,Word Recall,Medium
79,60.0,67.0,92.0,82.0,471.0,81.0,memory,Memory Match,Easy
83,83.0,73.0,91.0,73.0,591.0,73.0,attention,Attention Challenge,Medium
69,77.0,72.0,78.0,76.0,544.0,77.0,attention,Attention Challenge,Medium
55,64.0,68.0,81.0,61.0,737.0,86.0,reaction,Reaction Test,Easy
79,64.0,67.0,100.0,72.0,599.0,84.0,memory,Memory Match,Easy
61,94.0,59.0,80.0,63.0,716.0,80.0,attention,Attention Challenge,Easy
63,99.0,70.0,81.0,75.0,563.0,79.0,attention,Attention Challenge,Medium
78,72.0,64.0,50.0,78.0,530.0,76.0,recall,Word Recall,Easy
55,76.0,91.0,56.0,76.0,545.0,92.0,recall,Number Recall,Easy
62,80.0,80.0,72.0,83.0,457.0,95.0,recall,Word Recall,Medium
78,77.0,46.0,61.0,71.0,614.0,88.0,attention,Attention Challenge,Easy
65,55.0,47.0,58.0,83.0,467.0,67.0,attention,Attention Challenge,Easy
71,80.0,66.0,60.0,75.0,563.0,75.0,recall,Number Recall,Easy
62,50.0,62.0,52.0,68.0,653.0,80.0,memory,Memory Match,Easy
89,66.0,65.0,61.0,61.0,740.0,69.0,recall,Number Recall,Easy
89,81.0,78.0,77.0,74.0,570.0,79.0,reaction,Reaction Test,Medium
87,82.0,73.0,97.0,68.0,653.0,78.0,reaction,Reaction Test,Medium
59,65.0,73.0,83.0,69.0,639.0,89.0,memory,Memory Match,Medium
82,69.0,90.0,81.0,80.0,504.0,73.0,memory,Memory Match,Medium
61,68.0,47.0,49.0,56.0,803.0,90.0,attention,Attention Challenge,Easy
63,74.0,70.0,74.0,82.0,481.0,68.0,attention,Attention Challenge,Medium
62,75.0,59.0,71.0,75.0,561.0,70.0,attention,Attention Challenge,Easy
66,83.0,90.0,76.0,62.0,724.0,74.0,reaction,Reaction Test,Easy
